Name,SecondaryName,Category,Difficulty,FakieDifficulty,SwitchDifficulty,NollieDifficulty,SpecialTrick
Frontside 180 Kickflip Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside 180 Heelflip Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside 180 Heelflip Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Frontside 180 Heelflip Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Frontside 180 Heelflip Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Tre Flip Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Nollie Tre Flip Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Hardflip Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Hardflip Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Nollie Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Nollie Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Nollie Frontside 180 Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Nollie Backside 180 Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Nollie Kickflip Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Nollie Nollie Kickflip Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Nollie Heelflip Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Nollie Nollie Heelflip Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Nollie Backside Pop Shuvit Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Nollie Backside Pop Shuvit Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Nollie Frontside Pop Shuvit Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Nollie Frontside Pop Shuvit Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Nollie Backside 180 Kickflip Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Nollie Backside 180 Kickflip Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Nollie Frontside 180 Kickflip Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Nollie Frontside 180 Kickflip Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Nollie Backside 180 Heelflip Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Nollie Backside 180 Heelflip Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Nollie Frontside 180 Heelflip Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Nollie Frontside 180 Heelflip Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Nollie Tre Flip Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Nollie Nollie Tre Flip Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Nollie Hardflip Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Nollie Hardflip Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
